,Open Price,PM Beginning Price,PM High Price,Prior Day Price Action Trend,Premarket Move Change Classification,Premarket Move Time Classification,LOD move
81,3.68,3.76,4.18,Sideways,Full Retracement,Medium Uptrend then downmove,-0.014492753623188482
82,1.95,1.8,2.06,Downtrending,Medium Retracement,Equal Uptrend/Downtrend,-0.007832898172323825
83,220.68,145.79,223.05,Sideways,Barely Retraces,Sudden Upmove to Fade,-0.0026264547389395123
84,13.86,11.05,18.12,Extreme Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.06122448979591832
85,16.2,14.93,17.09,Extreme Uptrend,Medium Retracement,Medium Downtrend,-0.05830956859413883
86,1.31,1.07,2.4,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.03545592569438229
87,4.82,4.0,4.99,Extreme Uptrend,Small Retracement,Sudden Downmove,-0.12564278655298916
88,4.307,3.85,6.3,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.0049875311720697195
89,2.47,1.02,2.85,Slight Uptrend,Barely Retraces,Equal Uptrend/Downtrend,-0.24564796905222439
90,18.69,16.3,19.24,Sideways,Small-Medium Retracement,Medium Uptrend then downmove,-0.068241469816273
91,10.41,9.8,11.39,Uptrending,Medium Retracement,Medium Downtrend,-0.008824895494658674
92,4.75,4.79,5.6,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.0021551724137930574
93,1.9429,1.74,2.0,Uptrending,Small-Medium Retracement,Equal Uptrend/Downtrend,-0.0003173595683910695
94,5.71,4.18,6.43,Sideways,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.04296874999999995
95,7.12,6.95,8.03,Downtrending,Full Retracement,Equal Uptrend/Downtrend,-0.01760160274756729
96,2.18,1.98,2.5,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.046023546930987945
97,1.73,1.75,2.19,Sideways,Full Retracement,Sudden Upmove to Fade,-0.02868759882538963
98,4.96,4.87,5.72,Sideways,Full Retracement,Medium Downtrend,-0.009384775808133457
99,1.95,1.7383,2.0,Sideways,Small-Medium Retracement,Medium Downtrend,-0.07542579075425802
100,1.73,1.73,2.03,Sideways,Full Retracement,Sudden Upmove to Fade,-0.03661971830985913
101,5.21,2.5,5.5599,Slight Downtrend,Barely Retraces,Sudden Downmove,-0.12446351931330474
102,18.3,15.1,18.65,Slight Uptrend,Barely Retraces,Sudden Downmove,-0.01586510845308843
103,33.99,22.76,35.8,Sideways,Barely Retraces,Medium Downtrend,-0.029508196721311428
104,5.31,4.78,6.42,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.042801556420233415
105,10.51,8.09,12.4,Uptrending,Medium-Small Retracement,Medium Downtrend,-0.12063492063492051
106,1.22,1.14,1.39,Slight Downtrend,Medium Retracement,Equal Uptrend/Downtrend,-0.00923024811584396
107,3.32,2.6,3.57,Large Uptrend,Small-Medium Retracement,Sudden Downmove,-0.011195652173913018
108,2.2,2.14,2.45,Sideways,Full Retracement,Sudden Upmove to Fade,-0.009389671361502356
109,1.64,0.66,1.79,Sideways,Barely Retraces,Sudden Downmove,-0.13015873015873006
110,2.16,2.12,2.8,Sideways,Full Retracement,Sudden Upmove to Fade,
111,1.65,1.61,1.88,Sideways,Full Retracement,Sudden Upmove to Fade,-0.010479041916167576
112,2.31,2.91,3.6,Extreme Uptrend,Back to where it came from,Sudden Upmove to Fade,-0.042811562455355064
113,1.4083,1.25,1.8,Slight Downtrend,Medium Retracement,Long Downtrend,
114,3.24,3.28,4.89,Sideways,Full Retracement,Sudden Upmove to Fade,-0.08064516129032258
115,1.48,1.07,2.85,Sideways,Medium-Small Retracement,Medium Downtrend,-0.1585760517799352
116,4.59,4.39,5.0999,Sideways,Medium Retracement,Equal Uptrend/Downtrend,
117,2.79,2.23,3.29,Extreme Uptrend,Medium-Small Retracement,Sudden Downmove,-0.04480021525628966
118,6.46,7.82,10.0,Extreme Uptrend,Full Retracement,Sudden Upmove to Fade,-0.21775312066574207
119,3.13,2.7,3.2,Large Uptrend,Small Retracement,Sudden Downmove,-0.013664383561643775
120,1.73,2.22,2.74,Large Uptrend,Back to where it came from,Sudden Upmove to Fade,-0.2151556156968877
121,2.161,2.1,2.89,Sideways,Full Retracement,Sudden Upmove to Fade,-0.02512585812356977
122,1.84,1.76,2.01,Slight Downtrend,Medium Retracement,Long Downtrend,-0.015463641714377401
123,3.5,2.27,4.08,Extreme Uptrend,Small-Medium Retracement,Medium Uptrend then downmove,-0.0152284263959391
124,2.8,3.54,4.18,Extreme Uptrend,Back to where it came from,Sudden Upmove to Fade,-0.01945525291828787
125,1.57,1.43,1.82,Sideways,Medium Retracement,Medium Downtrend,-0.02095285607383378
126,4.16,2.38,5.48,Large Uptrend,Small-Medium Retracement,Equal Uptrend/Downtrend,-0.26904190676921014
127,2.29,2.88,2.5999,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.016877637130801704
128,1.63,1.43,1.77,Sideways,Medium-Small Retracement,Sudden Upmove to Fade,-0.05671641791044774
129,9.35,7.88,9.78,Uptrending,Small-Medium Retracement,Long Uptrend then downmove,-0.036324786324786314
130,2.785,2.72,3.42,Sideways,Full Retracement,Long Downtrend,-0.019230769230769332
131,4.26,3.93,4.68,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.01942857142857142
132,6.06,5.5399,7.0,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.0911806789414927
133,1.51,1.43,1.76,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.07012292210687222
134,4.52,4.34,4.842,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.03225806451612911
135,9.44,7.02,10.72,Uptrending,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.14853556485355646
136,6.01,5.81,7.58,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.1045434494927217
137,2.32,2.25,2.7,Sideways,Full Retracement,Sudden Upmove to Fade,
138,1.25,1.18,1.45,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.03571428571428559
139,4.29,4.18,4.76,Sideways,Full Retracement,Sudden Upmove to Fade,-0.022432113341204398
140,2.09,2.09,2.45,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.004807692307692419
141,7.15,4.15,9.01,Uptrending,Small-Medium Retracement,Sudden Downmove,-0.12636505460218417
142,1.28,1.18,1.56,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.052906596995427976
143,1.93,1.64,2.23,Sideways,Medium Retracement,Long Downtrend,-0.07262569832402241
144,3.22,3.82,4.5,Sideways,Back to where it came from,Long Downtrend,-0.05017301038062284
145,1.91,1.0899,1.99,Sideways,Barely Retraces,Sudden Downmove,-0.08040201005025122
146,5.54,4.93,6.67,Downtrending,Medium Retracement,Medium Downtrend,-0.060909090909090906
147,2.4,2.25,2.65,Extreme Downtrend,Medium Retracement,Long Downtrend,-0.05876068376068365
148,1.465,1.75,2.25,Extreme Downtrend,Full Retracement,Sudden Upmove to Fade,-0.015998867336825835
149,1.28,0.84,1.77,Sideways,Medium-Small Retracement,Medium Downtrend,
150,1.6,1.65,2.0,Sideways,Full Retracement,Sudden Upmove to Fade,
151,6.25,5.4,6.69,Uptrending,Medium-Small Retracement,Long Downtrend,-0.022321428571428492
152,6.975,6.8,7.7,Large Uptrend,Full Retracement,Long Downtrend,-0.021276595744680802
153,9.48,7.9,10.35,Uptrending,Medium-Small Retracement,Sudden Downmove,-0.08734177215189878
154,7.65,8.56,10.54,Sideways,Full Retracement,Sudden Upmove to Fade,-0.03193033381712623
155,2.16,2.45,3.75,Slight Downtrend,Full Retracement,Sudden Upmove to Fade,-0.06079155179664507
156,1.795,1.68,2.14,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.18100890207715142
157,1.86,1.56,1.97,Slight Downtrend,Medium-Small Retracement,Medium Uptrend then downmove,-0.03225806451612912
158,1.81,1.7,1.97,Downtrending,Medium Retracement,Medium Uptrend then downmove,-0.005674157303370785
159,3.44,3.2,3.85,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.010920436817472743
160,4.41,4.47,5.77,Extreme Downtrend,Full Retracement,Sudden Upmove to Fade,-0.04267561148789258
161,1.59,1.3,1.67,Downtrending,Small-Medium Retracement,Medium Downtrend,-0.05714285714285704
162,5.5,5.38,6.55,Slight Downtrend,Full Retracement,Sudden Upmove to Fade,-0.015037593984962419
163,1.9467,1.8,2.5,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.005617977528089893
164,1.53,1.25,1.81,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.11524163568773237
165,1.3,1.2,1.43,Downtrending,Medium Retracement,Equal Uptrend/Downtrend,-0.03208596905723651
166,1.34,1.25,1.47,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,0.0
167,1.41,1.49,1.75,Sideways,Full Retracement,Sudden Upmove to Fade,-0.06810035842293904
168,7.86,6.72,10.19,Slight Downtrend,Medium Retracement,Equal Uptrend/Downtrend,-0.010637265996314187
169,6.54,4.55,11.73,Extreme Downtrend,Medium-Small Retracement,Medium Downtrend,-0.08297872340425544
170,3.06,2.7,3.24,Slight Downtrend,Medium-Small Retracement,Sudden Downmove,-0.01913043478260875
171,3.69,3.0,5.46,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.09397590361445783
172,1.32,0.8599,1.5,Slight Downtrend,Small-Medium Retracement,Medium Uptrend then downmove,-0.2613065326633166
173,1.77,1.6,1.88,Downtrending,Medium Retracement,Equal Uptrend/Downtrend,-0.09580838323353288
174,4.5554,4.15,6.66,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.12162162162162173
175,1.67,1.61,2.2,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.03183023872679048
176,3.11,3.13,3.3,Sideways,Full Retracement,Medium Downtrend,
177,2.49,2.22,2.58,Sideways,Medium-Small Retracement,Medium Downtrend,-0.04013572034465828
178,3.55,2.07,3.7,Extreme Downtrend,Barely Retraces,Sudden Downmove,-0.12791699700113757
179,2.05,1.9,2.31,Slight Downtrend,Medium Retracement,Medium Uptrend then downmove,-0.16888888888888884
180,6.36,5.89,7.95,Downtrending,Medium Retracement,Sudden Upmove to Fade,-0.08571428571428577
181,1.73,1.29,2.08,Downtrending,Medium-Small Retracement,Long Downtrend,-0.014749262536873234
182,4.03,4.1,4.77,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.12443438914027145
183,2.02,1.58,2.19,Sideways,Medium-Small Retracement,Long Uptrend then downmove,-0.15288220551378454
184,3.0,2.6501,3.87,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.0073542730862586544
185,6.885,6.63,9.6,Uptrending,Medium Retracement,Long Downtrend,-0.16955941255006682
186,4.1,3.84,4.95,Sideways,Medium Retracement,Medium Downtrend,-0.0012091898428052948
187,11.74,8.54,12.649,Slight Uptrend,Small-Medium Retracement,Sudden Downmove,-0.01201201201201211
188,4.4,4.15,4.89,Slight Downtrend,Medium Retracement,Medium Downtrend,-0.031982942430703695
189,2.99,2.79,3.62,Sideways,Medium Retracement,Sudden Upmove to Fade,
190,1.445,1.35,1.54,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.06816347494313595
191,9.99,11.05,12.8,Large Uptrend,Full Retracement,Medium Downtrend,-0.05510204081632662
192,3.25,3.13,3.8297,Sideways,Full Retracement,Sudden Upmove to Fade,-0.015197568389057697
193,21.57,20.84,25.25,Sideways,Full Retracement,Long Downtrend,-0.0005295502382976379
194,9.37,4.9,12.2,Uptrending,Small-Medium Retracement,Medium Uptrend then downmove,-0.14702308626974492
195,1.56,1.49,1.62,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.009966777408637809
196,1.92,1.56,2.085,Downtrending,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.0029325513196481615
197,3.7,3.52,3.989,Slight Downtrend,Medium Retracement,Long Downtrend,-0.0013517241379310695
198,4.68,3.8,5.51,Downtrending,Medium Retracement,Long Downtrend,-0.012244172351725403
199,1.14,0.94,1.15,Uptrending,Barely Retraces,Sudden Downmove,-0.0422535211267605
200,3.4,3.45,4.25,Sideways,Full Retracement,Sudden Upmove to Fade,-0.06582351250359302
201,3.95,3.5,4.3,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.06694560669456061
202,2.48,2.16,2.75,Extreme Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.02892561983471068
203,13.64,8.1,13.82,Sideways,Barely Retraces,Sudden Downmove,-0.06674907292954266
204,2.58,1.94,2.8601,Slight Downtrend,Medium-Small Retracement,Medium Uptrend then downmove,-0.027293248512210138
205,1.78,1.71,2.1599,Sideways,Full Retracement,Sudden Upmove to Fade,-0.026450061579966065
206,9.19,8.57,10.65,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.0033039647577091805
207,5.06,4.93,7.47,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.04622439738723281
208,1.35,1.35,1.74,Sideways,Full Retracement,Sudden Upmove to Fade,-0.020866773675762458
209,11.26,10.5,12.28,Extreme Downtrend,Medium Retracement,Medium Downtrend,-0.029217719132893376
210,4.04,2.12,5.07,Sideways,Small-Medium Retracement,Medium Downtrend,-0.09420289855072457
211,3.36,3.4,4.3,Uptrending,Full Retracement,Sudden Upmove to Fade,
212,6.87,3.8,8.42,Sideways,Small-Medium Retracement,Long Uptrend then downmove,-0.0964749536178107
213,7.08,7.9,9.4,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.016477008650804443
214,1.84,1.7,1.98,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.019607843137254857
215,3.255,2.76,4.84,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.036423841059602606
216,7.53,7.15,9.68,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.012036553524804185
217,5.57,5.12,5.9,Sideways,Medium Retracement,Medium Downtrend,-0.00566037735849062
218,3.31,3.1,4.15,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.013888888888888963
219,1.37,1.32,1.54,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.007407407407407414
220,3.74,3.51,4.48,Large Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.0666666666666667
221,3.57,2.97,4.48,Large Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.048076923076923045
222,2.34,2.06,2.63,Large Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.062240663900415084
223,1.59,1.65,1.98,Extreme Uptrend,Full Retracement,Sudden Upmove to Fade,-0.0034602076124568273
224,2.4925,2.23,2.88,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.08724832214765094
225,2.75,2.49,2.87,Sideways,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.04700854700854696
226,1.85,1.84,2.16,Slight Uptrend,Full Retracement,Sudden Upmove to Fade,-0.008955223880597088
227,12.49,6.47,13.97,Extreme Uptrend,Barely Retraces,Sudden Downmove,-0.16732673267326728
228,1.1,0.916,1.16,Uptrending,Small-Medium Retracement,Sudden Downmove,-0.14999999999999997
229,1.33,1.16,1.66,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.13385826771653536
230,4.07,3.5,4.24,Uptrending,Small-Medium Retracement,Medium Downtrend,-0.0034048264035589247
231,4.28,4.0,5.78,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.025252525252525276
232,1.68,1.55,1.7998,Sideways,Medium Retracement,Equal Uptrend/Downtrend,-0.023069679849340937
233,3.0,2.64,3.33,Uptrending,Medium Retracement,Long Downtrend,-0.061682242990654224
234,2.69,2.79,3.91,Large Uptrend,Full Retracement,Sudden Upmove to Fade,-0.1885739462476134
235,12.76,10.5,13.57,Large Uptrend,Medium-Small Retracement,Sudden Downmove,-0.08261211644374514
236,1.98,1.84,2.5,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.0289473684210526
237,5.68,5.46,6.55,Sideways,Medium Retracement,Long Downtrend,-0.036979301983199216
238,21.92,19.0,27.0,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.03977406448576147
239,4.38,3.53,5.41,Slight Downtrend,Medium Retracement,Equal Uptrend/Downtrend,-0.01699029126213599
240,21.13,21.0,25.3,Extreme Uptrend,Full Retracement,Medium Downtrend,-0.09764833273176562
241,5.75,1.91,8.05,Slight Uptrend,Barely Retraces,Equal Uptrend/Downtrend,-0.22168674698795188
242,1.36,1.23,1.72,Downtrending,Medium Retracement,Sudden Upmove to Fade,-0.011673151750972686
243,4.41,4.15,5.61,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.0062083024462564204
244,2.17,2.15,2.5,Slight Downtrend,Full Retracement,Equal Uptrend/Downtrend,-0.00980392156862746
245,2.53,2.4,2.89,Uptrending,Medium Retracement,Sudden Upmove to Fade,-0.06595365418894832
246,2.91,2.74,3.22,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.03999999999999995
247,9.8,9.72,13.3899,Sideways,Full Retracement,Equal Uptrend/Downtrend,-0.0024014302791795345
248,2.77,3.27,4.15,Extreme Uptrend,Full Retracement,Sudden Upmove to Fade,-0.15816015291390462
249,2.85,2.82,3.78,Slight Downtrend,Full Retracement,Equal Uptrend/Downtrend,
250,6.39,5.99,7.15,Sideways,Medium Retracement,Long Downtrend,-0.05925324675324679
251,1.4,1.37,1.5,Sideways,Full Retracement,Sudden Downmove,-0.13872832369942195
252,15.18,5.52,16.76,Sideways,Barely Retraces,Long Uptrend then downmove,-0.22349351639969486
253,1.75,1.61,1.91,Slight Downtrend,Medium Retracement,Sudden Upmove to Fade,-0.0030303030303029657
254,70.0,64.48,74.06,Uptrending,Medium Retracement,Medium Uptrend then downmove,-0.01785678449441898
255,11.8,11.5,13.15,Large Uptrend,Full Retracement,Medium Downtrend,-0.03483432455395073
256,43.58,33.2,45.25,Extreme Uptrend,Small Retracement,Medium Uptrend then downmove,-0.11277391769107425
257,13.0,10.12,13.7,Uptrending,Small-Medium Retracement,Sudden Downmove,-0.03355704697986577
258,18.43,12.03,18.54,Extreme Uptrend,Barely Retraces,Sudden Downmove,
259,2.84,2.05,3.06,Slight Downtrend,Small-Medium Retracement,Equal Uptrend/Downtrend,-0.012875536480686801
260,3.05,2.68,3.1599,Downtrending,Small-Medium Retracement,Equal Uptrend/Downtrend,-0.0282032322805536
261,2.85,2.24,3.56,Sideways,Medium Retracement,Sudden Upmove to Fade,-0.07961165048543692
262,9.63,2.8,9.65,Uptrending,Barely Retraces,Sudden Downmove,-0.2770398481973434
263,1.61,1.5301,1.75,Sideways,Medium Retracement,Sudden Upmove to Fade,0.0
264,5.08,5.05,6.4,Extreme Uptrend,Full Retracement,Long Downtrend,-0.01244813278008309
265,18.92,15.51,20.35,Slight Downtrend,Medium-Small Retracement,Equal Uptrend/Downtrend,-0.097504556287677
266,2.62,2.37,2.9,Slight Uptrend,Medium Retracement,Sudden Upmove to Fade,-0.04301075268817208
267,1.25,1.15,1.35,Large Uptrend,Medium Retracement,Equal Uptrend/Downtrend,-0.016724094461719498
268,6.43,5.8999,6.8899,Uptrending,Medium Retracement,Medium Uptrend then downmove,-0.09754281459419215
269,2.04,1.66,2.45,Uptrending,Medium Retracement,Long Downtrend,-0.13475985700222787
270,1.59,1.5,1.78,Large Uptrend,Medium Retracement,Medium Uptrend then downmove,-0.10823444804027334
271,4.08,4.15,4.7,Sideways,Full Retracement,Sudden Upmove to Fade,-0.0050761421319797
272,4.64,3.5,5.5,Sideways,Medium-Small Retracement,Sudden Upmove to Fade,-0.04753677026414106
